Epoch, Total Squared Error,
1318, 0.909128,
1319, 0.908676,
1320, 0.908223,
1321, 0.907769,
1322, 0.907314,
1323, 0.906857,
1324, 0.906400,
1325, 0.905942,
1326, 0.905482,
1327, 0.905021,
1328, 0.904559,
1329, 0.904096,
1330, 0.903632,
1331, 0.903167,
1332, 0.902701,
1333, 0.902234,
1334, 0.901765,
1335, 0.901296,
1336, 0.900825,
1337, 0.900353,
1338, 0.899881,
1339, 0.899407,
1340, 0.898932,
1341, 0.898456,
1342, 0.897979,
1343, 0.897501,
1344, 0.897022,
1345, 0.896542,
1346, 0.896061,
1347, 0.895579,
1348, 0.895096,
1349, 0.894611,
1350, 0.894126,
1351, 0.893640,
1352, 0.893153,
1353, 0.892665,
1354, 0.892175,
1355, 0.891685,
1356, 0.891194,
1357, 0.890702,
1358, 0.890208,
1359, 0.889714,
1360, 0.889219,
1361, 0.888723,
1362, 0.888226,
1363, 0.887728,
1364, 0.887229,
1365, 0.886729,
1366, 0.886229,
1367, 0.885727,
1368, 0.885224,
1369, 0.884720,
1370, 0.884216,
1371, 0.883711,
1372, 0.883204,
1373, 0.882697,
1374, 0.882189,
1375, 0.881680,
1376, 0.881170,
1377, 0.880659,
1378, 0.880148,
1379, 0.879635,
1380, 0.879122,
1381, 0.878607,
1382, 0.878092,
1383, 0.877576,
1384, 0.877060,
1385, 0.876542,
1386, 0.876024,
1387, 0.875504,
1388, 0.874984,
1389, 0.874463,
1390, 0.873942,
1391, 0.873419,
1392, 0.872896,
1393, 0.872372,
1394, 0.871847,
1395, 0.871322,
1396, 0.870795,
1397, 0.870268,
1398, 0.869740,
1399, 0.869211,
1400, 0.868682,
1401, 0.868152,
1402, 0.867621,
1403, 0.867089,
1404, 0.866557,
1405, 0.866024,
1406, 0.865490,
1407, 0.864956,
1408, 0.864421,
1409, 0.863885,
1410, 0.863348,
1411, 0.862811,
1412, 0.862273,
1413, 0.861735,
1414, 0.861195,
1415, 0.860656,
1416, 0.860115,
1417, 0.859574,
1418, 0.859032,
1419, 0.858490,
1420, 0.857946,
1421, 0.857403,
1422, 0.856858,
1423, 0.856313,
1424, 0.855768,
1425, 0.855222,
1426, 0.854675,
1427, 0.854128,
1428, 0.853580,
1429, 0.853031,
1430, 0.852482,
1431, 0.851933,
1432, 0.851382,
1433, 0.850832,
1434, 0.850280,
1435, 0.849729,
1436, 0.849176,
1437, 0.848623,
1438, 0.848070,
1439, 0.847516,
1440, 0.846961,
1441, 0.846406,
1442, 0.845851,
1443, 0.845295,
1444, 0.844738,
1445, 0.844181,
1446, 0.843624,
1447, 0.843066,
1448, 0.842508,
1449, 0.841949,
1450, 0.841389,
1451, 0.840829,
1452, 0.840269,
1453, 0.839708,
1454, 0.839147,
1455, 0.838586,
1456, 0.838024,
1457, 0.837461,
1458, 0.836898,
1459, 0.836335,
1460, 0.835771,
1461, 0.835207,
1462, 0.834642,
1463, 0.834077,
1464, 0.833512,
1465, 0.832946,
1466, 0.832380,
1467, 0.831814,
1468, 0.831247,
1469, 0.830680,
1470, 0.830112,
1471, 0.829544,
1472, 0.828975,
1473, 0.828407,
1474, 0.827838,
1475, 0.827268,
1476, 0.826698,
1477, 0.826128,
1478, 0.825558,
1479, 0.824987,
1480, 0.824416,
1481, 0.823844,
1482, 0.823272,
1483, 0.822700,
1484, 0.822128,
1485, 0.821555,
1486, 0.820982,
1487, 0.820408,
1488, 0.819835,
1489, 0.819261,
1490, 0.818686,
